iter	Passed	Remaining
0	0	57
1	0	48
2	1	45
3	1	44
4	2	43
5	2	42
6	3	41
7	3	41
8	4	40
9	4	40
10	4	39
11	5	39
12	5	38
13	6	37
14	6	37
15	7	37
16	7	36
17	7	35
18	8	35
19	8	34
20	9	34
21	9	34
22	10	33
23	10	33
24	10	32
25	11	32
26	11	32
27	12	31
28	13	32
29	13	32
30	14	31
31	14	31
32	15	30
33	15	30
34	16	29
35	16	29
36	17	29
37	17	28
38	17	28
39	18	27
40	18	27
41	19	26
42	19	26
43	19	25
44	20	24
45	20	24
46	21	24
47	21	23
48	22	23
49	22	22
50	23	22
51	23	22
52	24	21
53	24	21
54	25	20
55	25	20
56	26	19
57	26	19
58	27	19
59	27	18
60	28	18
61	28	17
62	29	17
63	29	16
64	30	16
65	30	15
66	31	15
67	31	14
68	31	14
69	32	13
70	32	13
71	33	12
72	33	12
73	34	12
74	34	11
75	35	11
76	35	10
77	36	10
78	36	9
79	36	9
80	37	8
81	37	8
82	38	7
83	38	7
84	39	6
85	39	6
86	40	6
87	40	5
88	41	5
89	41	4
90	42	4
91	42	3
92	43	3
93	43	2
94	44	2
95	44	1
96	45	1
97	45	0
98	46	0
99	46	0
