iter	Passed	Remaining
0	1	1212
1	1	840
2	2	695
3	2	613
4	3	597
5	3	573
6	3	547
7	4	541
8	4	531
9	5	517
10	5	516
11	6	509
12	6	502
13	7	507
14	7	499
15	7	490
16	8	487
17	8	489
18	9	495
19	10	490
20	10	484
21	10	478
22	11	481
23	11	480
24	12	481
25	12	475
26	12	467
27	13	461
28	13	465
29	14	459
30	14	456
31	15	456
32	15	452
33	15	454
34	16	455
35	16	450
36	17	451
37	17	449
38	18	447
39	18	445
40	18	441
41	19	439
42	19	439
43	20	439
44	20	441
45	21	439
46	21	438
47	22	437
48	22	434
49	22	433
50	23	430
51	23	430
52	24	431
53	24	430
54	24	427
55	25	424
56	25	424
57	26	422
58	26	420
59	26	419
60	27	420
61	27	417
62	28	418
63	28	415
64	28	414
65	29	412
66	29	413
67	30	412
68	30	413
69	31	419
70	32	425
71	32	422
72	33	421
73	33	420
74	33	418
75	34	417
76	34	416
77	35	415
78	35	414
79	35	413
80	36	412
81	36	411
82	36	408
83	37	407
84	37	407
85	38	408
86	38	407
87	39	407
88	39	406
89	40	407
90	40	405
91	40	404
92	41	404
93	41	404
94	42	403
95	42	403
96	43	401
97	43	400
98	43	399
99	44	398
100	44	397
101	45	396
102	45	395
103	45	395
104	46	394
105	46	394
106	47	394
107	47	393
108	48	393
109	48	394
110	49	392
111	49	392
112	49	390
113	50	389
114	50	389
115	50	388
116	51	387
117	51	386
118	52	385
119	52	384
120	52	384
121	53	382
122	53	383
123	54	382
124	54	383
125	55	382
126	55	381
127	55	380
128	56	379
129	56	378
130	57	378
131	57	377
132	57	376
133	58	375
134	58	375
135	59	375
136	59	374
137	59	374
138	60	375
139	60	373
140	61	375
141	61	373
142	62	373
143	62	372
144	63	371
145	63	370
146	63	370
147	64	369
148	64	369
149	65	369
150	65	368
151	65	367
152	66	367
153	66	366
154	67	370
155	68	369
156	68	368
157	69	368
158	69	367
159	69	367
160	70	365
161	70	364
162	70	364
163	71	363
164	71	362
165	72	362
166	72	361
167	72	361
168	73	360
169	74	361
170	74	360
171	74	360
172	75	358
173	75	358
174	75	357
175	76	357
176	77	359
177	77	358
178	78	357
179	78	356
180	78	356
181	79	358
182	80	358
183	80	357
184	80	356
185	81	358
186	82	357
187	82	357
188	83	357
189	83	357
190	84	357
191	84	357
192	85	356
193	85	355
194	86	355
195	86	355
196	87	355
197	87	354
198	87	353
199	88	353
200	88	352
201	89	352
202	89	352
203	90	352
204	90	351
205	91	351
206	91	352
207	92	351
208	92	351
209	93	351
210	93	350
211	94	350
212	94	350
213	95	352
214	96	352
215	96	351
216	97	350
217	97	349
218	97	349
219	98	348
220	98	348
221	99	348
222	99	348
223	100	346
224	100	346
225	101	345
226	101	345
227	101	345
228	102	344
229	102	343
230	103	343
231	103	342
232	104	342
233	104	342
234	104	341
235	105	341
236	105	340
237	106	339
238	106	339
239	106	338
240	107	338
241	107	337
242	108	337
243	108	336
244	109	336
245	109	336
246	110	335
247	110	334
248	110	333
249	111	333
250	111	333
251	112	332
252	112	331
253	112	331
254	113	330
255	113	330
256	114	330
257	114	330
258	115	329
259	115	328
260	116	328
261	116	328
262	117	328
263	117	327
264	118	327
265	118	327
266	118	326
267	119	326
268	119	325
269	120	325
270	120	325
271	121	324
272	122	325
273	122	325
274	123	324
275	123	324
276	123	323
277	124	323
278	124	322
279	125	321
280	125	321
281	126	321
282	126	320
283	127	320
284	127	319
285	127	319
286	128	318
287	128	318
288	128	317
289	129	316
290	129	316
291	130	315
292	130	315
293	131	314
294	131	314
295	131	313
296	132	313
297	132	312
298	133	312
299	133	311
300	134	311
301	134	310
302	134	310
303	135	309
304	135	309
305	136	308
306	136	308
307	137	307
308	137	307
309	137	307
310	138	306
311	138	306
312	139	305
313	139	305
314	140	305
315	140	304
316	141	303
317	141	303
318	141	302
319	142	302
320	142	301
321	143	301
322	143	300
323	143	300
324	144	299
325	144	299
326	145	298
327	145	298
328	145	297
329	146	296
330	146	296
331	147	296
332	147	295
333	147	294
334	148	294
335	148	293
336	148	293
337	149	292
338	149	292
339	150	292
340	150	291
341	151	291
342	151	290
343	152	289
344	152	289
345	153	289
346	153	288
347	153	288
348	154	287
349	154	286
350	154	286
351	155	286
352	155	285
353	156	285
354	156	284
355	157	284
356	157	283
357	157	283
358	158	283
359	159	282
360	159	282
361	159	281
362	160	281
363	160	280
364	160	279
365	161	279
366	161	278
367	162	278
368	162	278
369	163	277
370	163	277
371	164	277
372	164	276
373	165	276
374	165	276
375	166	275
376	166	275
377	167	274
378	167	274
379	167	273
380	168	273
381	168	273
382	169	272
383	169	272
384	170	271
385	170	270
386	170	270
387	171	270
388	171	269
389	172	269
390	172	268
391	172	268
392	173	267
393	173	266
394	173	266
395	174	265
396	174	265
397	175	265
398	175	264
399	176	264
400	176	263
401	176	263
402	177	262
403	178	262
404	178	262
405	178	261
406	179	260
407	179	260
408	179	259
409	180	259
410	180	259
411	181	258
412	181	258
413	182	257
414	182	257
415	183	257
416	183	256
417	184	256
418	184	255
419	184	255
420	185	255
421	185	254
422	186	253
423	186	253
424	186	252
425	187	252
426	187	251
427	187	251
428	188	250
429	188	250
430	189	249
431	189	249
432	189	248
433	190	248
434	190	247
435	191	247
436	191	246
437	191	246
438	192	245
439	192	245
440	192	244
441	193	243
442	193	243
443	194	243
444	194	242
445	194	242
446	195	241
447	195	241
448	196	240
449	196	240
450	196	239
451	197	239
452	197	238
453	198	238
454	198	238
455	199	237
456	199	237
457	199	236
458	200	236
459	200	235
460	201	235
461	201	234
462	201	234
463	202	233
464	202	233
465	203	232
466	203	232
467	204	231
468	204	231
469	204	230
470	205	230
471	205	229
472	205	229
473	206	228
474	206	228
475	206	227
476	207	227
477	207	226
478	208	226
479	208	225
480	208	225
481	209	225
482	209	224
483	210	223
484	210	223
485	210	222
486	211	222
487	211	222
488	212	221
489	212	221
490	212	220
491	213	220
492	213	219
493	214	219
494	214	219
495	215	218
496	215	217
497	215	217
498	216	217
499	216	216
500	217	216
501	217	215
502	217	215
503	218	214
504	218	214
505	218	213
506	219	213
507	219	212
508	220	212
509	220	211
510	220	211
511	221	211
512	221	210
513	222	210
514	222	209
515	223	209
516	223	208
517	224	208
518	224	208
519	225	208
520	225	207
521	226	207
522	226	206
523	226	206
524	227	205
525	227	205
526	228	204
527	228	204
528	228	203
529	229	203
530	229	202
531	229	202
532	230	201
533	230	201
534	231	200
535	231	200
536	231	199
537	232	199
538	232	198
539	232	198
540	233	197
541	233	197
542	234	196
543	234	196
544	234	196
545	235	195
546	235	195
547	236	194
548	236	194
549	237	193
550	237	193
551	237	192
552	238	192
553	238	191
554	238	191
555	239	191
556	240	190
557	240	190
558	241	190
559	241	189
560	241	189
561	242	188
562	242	188
563	243	187
564	243	187
565	243	186
566	244	186
567	244	186
568	245	185
569	245	185
570	245	184
571	246	184
572	246	183
573	247	183
574	247	182
575	247	182
576	248	182
577	248	181
578	249	181
579	249	180
580	250	180
581	250	179
582	251	179
583	251	179
584	251	178
585	252	178
586	252	177
587	253	177
588	253	176
589	253	176
590	254	176
591	255	175
592	255	175
593	256	175
594	256	174
595	256	174
596	257	173
597	257	173
598	258	172
599	258	172
600	259	172
601	259	171
602	259	171
603	260	170
604	260	170
605	261	169
606	261	169
607	262	168
608	262	168
609	262	168
610	263	167
611	263	167
612	264	166
613	264	166
614	265	165
615	265	165
616	266	165
617	266	164
618	266	164
619	267	163
620	267	163
621	268	162
622	268	162
623	268	162
624	269	161
625	269	161
626	269	160
627	270	160
628	270	159
629	270	159
630	271	158
631	271	158
632	272	157
633	272	157
634	272	156
635	273	156
636	273	155
637	273	155
638	274	154
639	274	154
640	274	154
641	275	153
642	275	153
643	275	152
644	276	152
645	276	151
646	277	151
647	277	150
648	277	150
649	278	149
650	278	149
651	279	148
652	279	148
653	279	148
654	280	147
655	280	147
656	281	146
657	281	146
658	281	145
659	282	145
660	282	144
661	282	144
662	283	144
663	283	143
664	284	143
665	284	142
666	285	142
667	285	141
668	285	141
669	286	141
670	286	140
671	287	140
672	287	139
673	287	139
674	288	138
675	288	138
676	288	137
677	289	137
678	289	136
679	289	136
680	290	135
681	290	135
682	291	135
683	291	134
684	292	134
685	292	133
686	292	133
687	293	132
688	293	132
689	294	132
690	294	131
691	294	131
692	295	130
693	295	130
694	296	129
695	296	129
696	296	128
697	297	128
698	297	128
699	297	127
700	298	127
701	298	126
702	298	126
703	299	125
704	299	125
705	300	124
706	300	124
707	300	124
708	301	123
709	301	123
710	302	122
711	302	122
712	302	121
713	303	121
714	303	120
715	303	120
716	304	120
717	304	119
718	305	119
719	305	118
720	305	118
721	306	117
722	306	117
723	306	116
724	307	116
725	307	116
726	307	115
727	308	115
728	308	114
729	309	114
730	309	113
731	309	113
732	310	112
733	310	112
734	311	112
735	311	111
736	311	111
737	312	110
738	312	110
739	312	109
740	313	109
741	313	109
742	313	108
743	314	108
744	314	107
745	315	107
746	315	106
747	315	106
748	316	105
749	316	105
750	316	105
751	317	104
752	317	104
753	318	103
754	318	103
755	319	102
756	319	102
757	319	102
758	320	101
759	320	101
760	320	100
761	321	100
762	321	99
763	321	99
764	322	99
765	322	98
766	323	98
767	323	97
768	323	97
769	324	96
770	324	96
771	324	95
772	325	95
773	325	95
774	326	94
775	326	94
776	326	93
777	327	93
778	327	92
779	328	92
780	328	92
781	328	91
782	329	91
783	329	90
784	330	90
785	330	89
786	330	89
787	331	89
788	331	88
789	331	88
790	332	87
791	332	87
792	333	86
793	333	86
794	333	86
795	334	85
796	334	85
797	335	84
798	335	84
799	336	84
800	336	83
801	337	83
802	337	82
803	337	82
804	338	81
805	338	81
806	339	81
807	339	80
808	339	80
809	340	79
810	340	79
811	341	79
812	341	78
813	342	78
814	342	77
815	343	77
816	343	76
817	343	76
818	344	76
819	344	75
820	345	75
821	345	74
822	346	74
823	346	73
824	346	73
825	347	73
826	347	72
827	347	72
828	348	71
829	348	71
830	348	70
831	349	70
832	349	70
833	349	69
834	350	69
835	350	68
836	351	68
837	351	67
838	351	67
839	352	67
840	352	66
841	353	66
842	353	65
843	353	65
844	354	64
845	354	64
846	354	64
847	355	63
848	355	63
849	356	62
850	356	62
851	357	62
852	358	61
853	358	61
854	358	60
855	359	60
856	359	59
857	359	59
858	360	59
859	360	58
860	361	58
861	361	57
862	361	57
863	362	57
864	362	56
865	362	56
866	363	55
867	363	55
868	364	54
869	364	54
870	365	54
871	365	53
872	365	53
873	366	52
874	366	52
875	366	51
876	367	51
877	367	51
878	368	50
879	368	50
880	368	49
881	369	49
882	369	48
883	369	48
884	370	48
885	370	47
886	370	47
887	371	46
888	371	46
889	371	45
890	372	45
891	372	45
892	373	44
893	373	44
894	373	43
895	374	43
896	374	43
897	375	42
898	375	42
899	375	41
900	376	41
901	376	40
902	377	40
903	377	40
904	377	39
905	378	39
906	378	38
907	378	38
908	379	37
909	379	37
910	380	37
911	380	36
912	380	36
913	381	35
914	381	35
915	381	35
916	382	34
917	382	34
918	382	33
919	383	33
920	383	32
921	384	32
922	384	32
923	384	31
924	385	31
925	385	30
926	386	30
927	386	29
928	386	29
929	387	29
930	387	28
931	388	28
932	388	27
933	388	27
934	389	27
935	389	26
936	390	26
937	390	25
938	390	25
939	391	24
940	391	24
941	391	24
942	392	23
943	392	23
944	393	22
945	393	22
946	393	22
947	394	21
948	394	21
949	394	20
950	395	20
951	395	19
952	396	19
953	396	19
954	396	18
955	397	18
956	397	17
957	397	17
958	398	17
959	398	16
960	398	16
961	399	15
962	399	15
963	400	14
964	400	14
965	401	14
966	401	13
967	401	13
968	402	12
969	402	12
970	403	12
971	403	11
972	403	11
973	404	10
974	405	10
975	405	9
976	405	9
977	406	9
978	406	8
979	407	8
980	407	7
981	407	7
982	408	7
983	408	6
984	409	6
985	409	5
986	409	5
987	410	4
988	410	4
989	410	4
990	411	3
991	411	3
992	411	2
993	412	2
994	412	2
995	413	1
996	413	1
997	413	0
998	414	0
999	414	0
